;comunidad;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Total
0;Andalucía;21055134;18973783;20304989;22376281;23878314;40375309;50752816;58154628;30005000;26105243;75907173;387888670
1;Aragon;10890586;9328777;9371533;8172207;7587501;8613399;9683103;1095290;5123551;6453987;17214919;93534853
2;Asturias;1996607;2055493;2256109;2334916;3347427;9690074;12354303;14156060;2236948;2986525;6959307;60373769
3;Islas Baleares;3993215;3162297;3644485;3307798;5355883;3499193;4340701;4973751;3991666;3517230;14638098;54424317
4;Canarias;4356234;3952871;4165126;3696950;4016912;7805893;9349203;10712694;4023410;3756153;1085022;56920468
5;Cantabria;1270568;948689;1388375;1556610;1338970;2691687;3339001;3825962;2522064;2825884;4178660;25886470
6;C. - La Mancha;3811705;3320412;4512219;9923304;12050738;9959243;12020403;13773464;4123782;5103576;7610038;86208884
7;C. y León;6715861;6482709;6678329;7004749;7141178;9420905;1018703;12625675;8695051;7022397;13395524;86201081
8;Cataluña;33397798;31148628;5750665;42612223;45525010;54910420;63107120;73458477;32167000;36764217;97368239;516209797
9;Ceuta y Melilla;181509;158114;173546;194576;223161;269168;333900;382596;1348716;336525;727781;4329592
10;Madrid;44106875;33836581;34709384;33661710;37714346;43066996;55761317;63893571;26020743;21874128;103557152;498202803
11;C. Valenciana;18695507;17392635;21693365;30937641;36821699;39836972;51420616;58919820;1743115;1931769;34779631;314172770
12;Extremadura;1816097;1106804;1388375;9728816;1115809;2422518;3005100;3443366;3340384;3776384;6176693;37320346
13;Galicia;7441900;6324594;6768329;6031867;1158090;10497580;14691604;16834234;7125871;8470525;22120923;107465517
14;La Rioja;726039;632459;520640;778305;892647;1076674;1335600;1530384;933897;1212282;1617725;11256652
15;Navarra;1815097;1681148;1388375;13620346;1338970;2691687;3339001;3825962;2853384;3895179;5615580;42064729
16;Pais vasco;13613233;12174844;12321831;13814921;16290812;16688461;19366206;22190581;9256205;7080474;21483490;164281058
17;Murcia;5626803;5534020;6421236;5837290;7364339;56525436;8681402;9947502;3545641;4525025;14812173;128820867
