;Provincias;2018;2019;2020;2021;2022;Total
0;Madrid;75967445.38;84665701.76;22845387.86;21874128,000;103557152.17;308909815.17
1;Barcelona;71975971.54;68318573.81;21249576.83;25633414.7;77866489.23;265044026.11
2;Sevilla;12471500.26;14572285.93;6280496.65;5198323.21;26252117.94;64774723.99
3;Vizcaya;12157211.28;11752590.22;4693121.88;3898148.33;14181599.35;46682671.06
4;Málaga;11458264.36;11752590.22;5047521.41;5208035.9;14233072.05;47699483.94
5;Valencia;10916016.41;13321424.89;4620246.12;6746875.13;16044616.02;51649178.57
6;Gerona;9912518.33;16745480.49;3308329.83;6797916.28;11210441.41;47974686.34
7;Baleares;9902281.54;10769830.08;3504557.53;3517228.08;14638098.2;42331995.43
8;La Coruña;8843800.26;10237174.13;2701973.34;4190478.33;13531658.33;39505084.39
9;Cádiz;8086087.31;7766014.16;5581595.9;4969856.28;13268538.07;39672091.72
10;Murcia;7372828.46;7822793.54;3112957.36;4525027.31;14812172.82;37645779.49
11;Alicante;6854491.03;7798657.44;3211007.16;3541344.36;12872516.02;34278016.01
12;Zaragoza;6733433.97;4695609.3;3182027.46;5097559.49;12219121.15;31927751.37
13;Castellón;6715750.77;11297479.91;2478820.72;1643553.08;5862499.23;27998103.71
14;Asturias;4902692.31;5369359.2;1963968.89;2986521.03;6959306.66;22181848.09
15;Navarra;4830472.56;6538366.22;2505179.24;3895174.74;5615579.87;23384772.63
16;Tarragona;4281616.03;4955100.9;2261458.75;3066624.36;5779064.61;20343864.65
17;Las Palmas;4080328.33;5429624.96;2566659.53;2553936.28;8728804.23;23359353.33
18;Guipuzcoa;3962590.26;4977730.26;2241514.01;2272871.92;5264733.07;18719439.52
19;Cantabria;3670948.33;4378609.95;2214294.52;2825878.72;4178660.25;17268391.77
20;Granada;3543577.05;4184190.36;2448802.08;2614234.23;7134163.97;19924967.69
21;Córdoba;3231987.56;6221973.91;1927833.18;2889314.74;5155471.28;19426580.67
22;Pontevedra;3073070.13;5755877.09;2934355.21;3006949.74;6157827.17;20928079.34
23;Almería;3070374.87;5498359.18;1848660.71;1309656.15;4697983.46;16425034.37
24;Tenerife;2903537.56;2324005.55;965769.1;1202215.12;2356218.2;9751745.53
25;Valladolid;2809725,000;4606748.5;1691815.17;1508867.69;4575478.33;15192634.69
26;Salamanca;2508930.38;2983148.68;972204.27;1247825.26;2339997.43;10052106.02
27;Badajoz;2392682.69;1700667.08;1917558.25;2283591.92;3475927.56;11770427.5
28;Huelva;1744751.28;1359183.89;1995280.95;2043687.82;1967903.84;9110807.78
29;Cáceres;1722243.21;2862217.6;1015185.77;1492790.77;2700765.51;9793202.86
30;Huesca;1617723.59;2074649.62;948618.11;925028.33;3915509.74;9481529.39
31;La Rioja;1616710,000;1481186.69;819930.81;1212287.31;1617724.87;6747839.68
32;Ciudad Real;1598362.82;2075329.7;1106087.34;1360530.77;1319960.64;7460271.27
33;Jaén;1568125.51;2017562.2;1213237.73;1872129.1;3197922.69;9868977.23
34;Lugo;1442918.21;1653123.11;298156.1;875658.85;1663238.07;5933094.34
35;Toledo;1364365.13;2308400.35;1022873.17;1550760,000;2621524.48;8867923.13
36;Albacete;1252763.59;3181898.54;677646.05;964765,000;2704246.79;8781319.97
37;Lérida;1200529.23;1922167.48;1422241.11;1266262.95;2512243.58;8323444.35
38;León;1144177.69;2195556.4;1343936.13;847465.26;315415.89;5846551.37
39;Palencia;1135977.69;1161362.39;424374.95;580096.28;617450.25;3919261.56
40;Burgos;1118831.79;1584159.65;1201273.16;1141397.31;2615776.28;7661438.19
41;Álava;1035341.92;1283975.92;1192019.34;909447.95;2037157.56;6457942.69
42;Teruel;952114.36;1162111.53;367660.45;431394.49;1080288.2;3993569.03
43;Ávila;943717.82;829472.8;552060.91;385647.82;605944.48;3316843.83
44;Segovia;783482.69;1229567.11;726281.66;555125.13;1139430.64;4433887.23
45;Zamora;665000.64;1150963.3;491408.27;449464.1;742315.51;3499151.82
46;Cuenca;643367.69;806077.78;282431.46;495761.8;579068.07;2806706.8
47;Guadalajara;608762.69;2065266.48;531511.27;731769.49;385238.07;4322548.00
48;Soria;436648.85;812726.24;230639.89;306501.54;443715.25;2230231.77
49;Orense;286296.67;570437.12;321804.4;397450.39;768199.74;2344188.32
50;Ceuta;194557.18;116370.71;49008.97;33930.38;280712.94;674580.18
51;Melilla;190203.21;57542.16;69403.95;302592.05;447068.07;1066809.44
52;Total;333897107.42;382401276.49;138580764.91;157637495.27;459248129.24;
